,Name,Date,Open,High,Low,Close,Adj Close,Volume,5-day Avg,7-day Avg,Signal
141,Fin Nifty,2023-01-24,18957.550781,19003.800781,18844.900391,18890.0,18890.0,802200.0,18884.1699218,18835.449776714286,
142,Fin Nifty,2023-01-25,18869.099609,18886.099609,18447.050781,18488.550781,18488.550781,1099700.0,18904.349999799997,18848.485491,
143,Fin Nifty,2023-01-27,18372.650391,18383.550781,17916.550781,18030.849609,18030.849609,1823600.0,18821.660156,18812.928571285713,
144,Fin Nifty,2023-01-30,17836.099609,18175.650391,17707.449219,18091.25,18091.25,1551200.0,18682.1902342,18725.850167285713,
145,Fin Nifty,2023-01-31,18155.099609,18175.699219,17950.5,18095.0,18095.0,1279200.0,18524.9601562,18637.09291285714,
146,Fin Nifty,2023-02-01,18294.900391,18658.650391,17715.650391,18084.800781,18084.800781,1954000.0,18455.9300782,18606.47154014286,Sell
147,Fin Nifty,2023-02-02,17839.5,18085.599609,17747.900391,18022.150391,18022.150391,1390700.0,18295.8300782,18481.292968714286,
148,Fin Nifty,2023-02-03,18132.150391,18462.150391,18074.650391,18447.650391,18447.650391,1101900.0,18311.550000199997,18403.914341571428,
149,Fin Nifty,2023-02-06,18440.800781,18510.199219,18296.849609,18371.599609,18371.599609,883300.0,18378.459765800002,18350.214285857142,Buy
150,Fin Nifty,2023-02-07,18421.650391,18455.949219,18242.900391,18395.650391,18395.650391,771400.0,18434.5097658,18360.55691985714,
151,Fin Nifty,2023-02-08,18415.5,18566.75,18405.349609,18485.949219,18485.949219,735400.0,18416.1296876,18416.428292571425,Sell
152,Fin Nifty,2023-02-09,18525.449219,18538.0,18396.650391,18511.800781,18511.800781,724400.0,18506.6097658,18468.185547,Buy
153,Fin Nifty,2023-02-10,18476.25,18565.449219,18463.900391,18516.199219,18516.199219,587800.0,18527.269531399998,18454.871093857142,
154,Fin Nifty,2023-02-13,18504.050781,18540.099609,18342.150391,18428.949219,18428.949219,694900.0,18533.2496094,18519.799665285715,
155,Fin Nifty,2023-02-14,18483.849609,18619.5,18425.599609,18595.699219,18595.699219,821900.0,18565.9597656,18542.27818085714,
156,Fin Nifty,2023-02-15,18595.099609,18663.0,18494.949219,18636.949219,18636.949219,695700.0,18585.2097656,18564.10686385714,
